order_id,customer_id,product_id,order_date,order_timestamp,quantity,unit_price,discount_amount,order_status,payment_method,shipping_address,shipping_city,shipping_state,shipping_zip,shipping_country,created_at,updated_at
ORD-001,CUST-1001,PROD-101,2024-01-15,2024-01-15 10:23:45,2,299.99,0,COMPLETED,CREDIT_CARD,123 Main St,Austin,TX,78701,USA,2024-01-15 10:23:45,2024-01-15 10:23:45
ORD-002,CUST-1002,PROD-102,2024-01-15,2024-01-15 11:45:22,1,599.99,50.00,COMPLETED,PAYPAL,456 Oak Ave,Dallas,TX,75201,USA,2024-01-15 11:45:22,2024-01-15 11:45:22
ORD-003,CUST-1003,PROD-103,2024-01-16,2024-01-16 09:12:33,3,49.99,0,SHIPPED,DEBIT_CARD,789 Pine Rd,Houston,TX,77001,USA,2024-01-16 09:12:33,2024-01-16 14:30:00
ORD-004,CUST-1001,PROD-104,2024-01-16,2024-01-16 14:55:18,1,899.99,100.00,PROCESSING,CREDIT_CARD,123 Main St,Austin,TX,78701,USA,2024-01-16 14:55:18,2024-01-16 14:55:18
ORD-005,CUST-1004,PROD-101,2024-01-17,2024-01-17 08:30:00,1,299.99,29.99,COMPLETED,APPLE_PAY,321 Elm St,San Antonio,TX,78201,USA,2024-01-17 08:30:00,2024-01-18 10:00:00
ORD-006,CUST-1005,PROD-105,2024-01-17,2024-01-17 16:22:10,2,149.99,0,DELIVERED,CREDIT_CARD,654 Maple Dr,Fort Worth,TX,76101,USA,2024-01-17 16:22:10,2024-01-19 12:00:00
ORD-007,CUST-1002,PROD-102,2024-01-18,2024-01-18 10:10:10,1,599.99,0,PENDING,PAYPAL,456 Oak Ave,Dallas,TX,75201,USA,2024-01-18 10:10:10,2024-01-18 10:10:10
ORD-008,CUST-1006,PROD-106,2024-01-18,2024-01-18 13:45:30,4,29.99,10.00,COMPLETED,DEBIT_CARD,987 Cedar Ln,El Paso,TX,79901,USA,2024-01-18 13:45:30,2024-01-20 09:00:00
ORD-009,CUST-1003,PROD-107,2024-01-19,2024-01-19 09:00:00,1,1299.99,0,SHIPPED,CREDIT_CARD,789 Pine Rd,Houston,TX,77001,USA,2024-01-19 09:00:00,2024-01-19 15:00:00
ORD-010,CUST-1007,PROD-103,2024-01-19,2024-01-19 11:30:45,2,49.99,0,COMPLETED,APPLE_PAY,147 Birch Way,Plano,TX,75023,USA,2024-01-19 11:30:45,2024-01-21 10:00:00
ORD-011,CUST-1008,PROD-108,2024-01-20,2024-01-20 14:20:00,1,449.99,45.00,RETURNED,CREDIT_CARD,258 Walnut St,Arlington,TX,76001,USA,2024-01-20 14:20:00,2024-01-25 09:00:00
ORD-012,CUST-1004,PROD-104,2024-01-20,2024-01-20 17:55:22,1,899.99,0,COMPLETED,PAYPAL,321 Elm St,San Antonio,TX,78201,USA,2024-01-20 17:55:22,2024-01-22 11:00:00
ORD-013,CUST-1009,PROD-109,2024-01-21,2024-01-21 08:15:00,3,79.99,20.00,DELIVERED,DEBIT_CARD,369 Spruce Ave,Lubbock,TX,79401,USA,2024-01-21 08:15:00,2024-01-23 14:00:00
ORD-014,CUST-1010,PROD-110,2024-01-21,2024-01-21 12:40:33,1,199.99,0,SHIPPED,CREDIT_CARD,741 Ash Blvd,Corpus Christi,TX,78401,USA,2024-01-21 12:40:33,2024-01-21 16:00:00
ORD-015,CUST-1001,PROD-105,2024-01-22,2024-01-22 09:30:00,2,149.99,15.00,COMPLETED,CREDIT_CARD,123 Main St,Austin,TX,78701,USA,2024-01-22 09:30:00,2024-01-24 10:00:00
