order_id,customer_id,product_id,order_date,order_timestamp,quantity,unit_price,discount_amount,order_status,payment_method,shipping_address,shipping_city,shipping_state,shipping_zip,shipping_country,created_at,updated_at
ORD-00001,CUST-1002,PROD-128,2024-06-15,2024-06-15 10:51:39,1,216.64,0,COMPLETED,PAYPAL,7459 Pine St,Austin,NY,65392,USA,2024-06-15 10:51:39,2024-06-15 10:51:39
ORD-00002,CUST-1034,PROD-122,2024-02-10,2024-02-10 14:55:19,2,863.69,0,RETURNED,PAYPAL,1369 Pine St,Dallas,IL,54020,USA,2024-02-10 14:55:19,2024-02-10 14:55:19
ORD-00003,CUST-1050,PROD-107,2024-06-27,2024-06-27 13:46:52,4,139.39,0,CANCELLED,DEBIT_CARD,8661 Elm St,San Antonio,CO,48974,USA,2024-06-27 13:46:52,2024-06-27 13:46:52
ORD-00004,CUST-1032,PROD-121,2024-08-25,2024-08-25 20:36:48,5,327.5,0,PROCESSING,APPLE_PAY,2517 Main St,Austin,MA,38683,USA,2024-08-25 20:36:48,2024-08-25 20:36:48
ORD-00005,CUST-1005,PROD-105,2024-06-07,2024-06-07 15:28:02,7,1154.31,0,COMPLETED,PAYPAL,8851 Oak St,Dallas,CO,59735,USA,2024-06-07 15:28:02,2024-06-07 15:28:02
ORD-00006,CUST-1031,PROD-133,2024-09-13,2024-09-13 10:03:28,2,1348.76,0,COMPLETED,PAYPAL,500 Main St,Dallas,CO,90120,USA,2024-09-13 10:03:28,2024-09-13 10:03:28
ORD-00007,CUST-1029,PROD-125,2024-09-25,2024-09-25 16:39:10,8,1797.38,0,COMPLETED,PAYPAL,2951 Pine St,San Antonio,GA,10053,USA,2024-09-25 16:39:10,2024-09-25 16:39:10
ORD-00008,CUST-1043,PROD-123,2024-11-04,2024-11-04 21:09:21,5,735.66,0,COMPLETED,GIFT_CARD,5380 Oak St,Austin,IL,69087,USA,2024-11-04 21:09:21,2024-11-04 21:09:21
ORD-00009,CUST-1025,PROD-128,2024-11-25,2024-11-25 20:21:52,3,679.86,0,COMPLETED,GIFT_CARD,4471 Oak St,NYC,CA,60140,USA,2024-11-25 20:21:52,2024-11-25 20:21:52
ORD-00010,CUST-1014,PROD-105,2024-06-23,2024-06-23 20:31:12,2,588.11,0,COMPLETED,DEBIT_CARD,1712 Main St,San Antonio,WA,24322,USA,2024-06-23 20:31:12,2024-06-23 20:31:12
ORD-00011,CUST-1057,PROD-140,2024-11-12,2024-11-12 10:38:24,6,887.69,0,COMPLETED,DEBIT_CARD,6870 Main St,Dallas,GA,57419,USA,2024-11-12 10:38:24,2024-11-12 10:38:24
ORD-00012,CUST-1040,PROD-120,2024-05-25,2024-05-25 20:47:50,6,870.02,0,COMPLETED,DEBIT_CARD,7719 Pine St,Houston,NY,89415,USA,2024-05-25 20:47:50,2024-05-25 20:47:50
ORD-00013,CUST-1019,PROD-117,2024-07-14,2024-07-14 16:33:26,5,1310.78,0,COMPLETED,DEBIT_CARD,6584 Oak St,NYC,IL,69929,USA,2024-07-14 16:33:26,2024-07-14 16:33:26
ORD-00014,CUST-1034,PROD-133,2024-03-04,2024-03-04 12:05:48,11,816.6,0,COMPLETED,PAYPAL,1369 Pine St,Dallas,IL,54020,USA,2024-03-04 12:05:48,2024-03-04 12:05:48
ORD-00015,CUST-1006,PROD-109,2024-07-10,2024-07-10 11:01:20,7,2350.0,0,COMPLETED,PAYPAL,9392 Pine St,Dallas,CO,61856,USA,2024-07-10 11:01:20,2024-07-10 11:01:20
ORD-00016,CUST-1009,PROD-117,2024-12-27,2024-12-27 15:28:39,2,1042.04,0,COMPLETED,CREDIT_CARD,8417 Oak St,Dallas,WA,31174,USA,2024-12-27 15:28:39,2024-12-27 15:28:39
ORD-00017,CUST-1036,PROD-108,2024-11-07,2024-11-07 16:27:07,12,1280.65,0,COMPLETED,DEBIT_CARD,4992 Elm St,San Antonio,GA,81582,USA,2024-11-07 16:27:07,2024-11-07 16:27:07
ORD-00018,CUST-1002,PROD-128,2024-11-19,2024-11-19 16:36:15,7,468.95,0,RETURNED,DEBIT_CARD,7459 Pine St,Austin,NY,65392,USA,2024-11-19 16:36:15,2024-11-19 16:36:15
ORD-00019,CUST-1033,PROD-124,2024-10-10,2024-10-10 08:24:55,8,813.12,0,COMPLETED,CREDIT_CARD,7351 Elm St,Los Angeles,CO,30861,USA,2024-10-10 08:24:55,2024-10-10 08:24:55
ORD-00020,CUST-1012,PROD-105,2024-12-16,2024-12-16 15:44:30,3,469.43,0,CANCELLED,DEBIT_CARD,217 Main St,NYC,TX,40007,USA,2024-12-16 15:44:30,2024-12-16 15:44:30
ORD-00021,CUST-1021,PROD-103,2024-06-07,2024-06-07 16:25:52,7,1078.46,0,SHIPPED,APPLE_PAY,1991 Main St,NYC,GA,30374,USA,2024-06-07 16:25:52,2024-06-07 16:25:52
ORD-00022,CUST-1028,PROD-132,2024-07-23,2024-07-23 19:28:57,7,616.63,0,COMPLETED,PAYPAL,5509 Pine St,NYC,CA,49363,USA,2024-07-23 19:28:57,2024-07-23 19:28:57
ORD-00023,CUST-1053,PROD-119,2024-04-02,2024-04-02 16:18:20,11,1261.8,0,COMPLETED,CREDIT_CARD,1077 Oak St,Houston,AZ,84607,USA,2024-04-02 16:18:20,2024-04-02 16:18:20
ORD-00024,CUST-1028,PROD-133,2024-05-20,2024-05-20 18:50:03,9,2252.41,0,COMPLETED,APPLE_PAY,5509 Pine St,NYC,CA,49363,USA,2024-05-20 18:50:03,2024-05-20 18:50:03
ORD-00025,CUST-1037,PROD-129,2024-01-17,2024-01-17 17:09:43,9,1511.36,0,COMPLETED,PAYPAL,2804 Elm St,Dallas,AZ,80008,USA,2024-01-17 17:09:43,2024-01-17 17:09:43
ORD-00026,CUST-1048,PROD-117,2024-04-05,2024-04-05 15:33:24,8,1037.57,0,SHIPPED,CREDIT_CARD,2168 Elm St,Austin,TX,85243,USA,2024-04-05 15:33:24,2024-04-05 15:33:24
ORD-00027,CUST-1058,PROD-105,2024-12-31,2024-12-31 15:05:51,7,1495.89,0,CANCELLED,PAYPAL,2089 Main St,NYC,AZ,41365,USA,2024-12-31 15:05:51,2024-12-31 15:05:51
ORD-00028,CUST-1033,PROD-102,2024-04-24,2024-04-24 09:12:50,10,908.4,0,COMPLETED,DEBIT_CARD,7351 Elm St,Los Angeles,CO,30861,USA,2024-04-24 09:12:50,2024-04-24 09:12:50
ORD-00029,CUST-1050,PROD-129,2024-07-28,2024-07-28 21:36:04,4,1054.84,0,COMPLETED,PAYPAL,8661 Elm St,San Antonio,CO,48974,USA,2024-07-28 21:36:04,2024-07-28 21:36:04
ORD-00030,CUST-1023,PROD-109,2024-03-06,2024-03-06 22:53:49,3,624.85,0,SHIPPED,GIFT_CARD,1932 Main St,NYC,NY,81511,USA,2024-03-06 22:53:49,2024-03-06 22:53:49
ORD-00031,CUST-1011,PROD-106,2024-06-14,2024-06-14 22:45:14,6,677.66,0,COMPLETED,GIFT_CARD,5207 Elm St,NYC,WA,67422,USA,2024-06-14 22:45:14,2024-06-14 22:45:14
ORD-00032,CUST-1038,PROD-137,2024-03-19,2024-03-19 10:42:39,8,1547.26,0,RETURNED,GIFT_CARD,6311 Pine St,Dallas,CO,52840,USA,2024-03-19 10:42:39,2024-03-19 10:42:39
ORD-00033,CUST-1057,PROD-126,2024-11-17,2024-11-17 16:18:41,8,1816.88,0,COMPLETED,APPLE_PAY,6870 Main St,Dallas,GA,57419,USA,2024-11-17 16:18:41,2024-11-17 16:18:41
ORD-00034,CUST-1030,PROD-126,2024-04-14,2024-04-14 13:38:09,7,1131.16,0,COMPLETED,PAYPAL,8475 Elm St,NYC,NY,96356,USA,2024-04-14 13:38:09,2024-04-14 13:38:09
ORD-00035,CUST-1025,PROD-113,2024-11-11,2024-11-11 14:15:55,8,1564.47,0,COMPLETED,PAYPAL,4471 Oak St,NYC,CA,60140,USA,2024-11-11 14:15:55,2024-11-11 14:15:55
ORD-00036,CUST-1033,PROD-119,2024-08-22,2024-08-22 11:13:37,4,1512.2,0,COMPLETED,CREDIT_CARD,7351 Elm St,Los Angeles,CO,30861,USA,2024-08-22 11:13:37,2024-08-22 11:13:37
